application,library,device,os,user_agent_string,certificate_authority,verified,notes,observation_count,ja4t_fingerprint
masscan,,,,,,true,,1,1024_00_00_00
Nmap,,,,,,true,,1,1024_2_1460_00
Modified Nmap,,,,,,true,,1,1025_2_1460_00
,,Phillips Hue Bridge V2,,,,true,,1,29200_2-1-1-4-1-3_1460_3
,,Nest Thermostat V2,,,,true,,1,29200_2-4-8-1-3_1460_6
Modified ZMap,,,,,,true,,1,512_00_00_00
,,LIFX,,,,true,,1,5744_2_1436_00
,,,AWS Linux 2,,,true,,1,62727_2-4-8-1-3_8961_7
,,,Windows 10,,,true,,1,64240_2-1-3-1-1-4_1460_8
,,,WSL Ubuntu 22.04,,,true,,1,64240_2-4-8-1-3_1460_7
Zmap,,,,,,true,,1,65535_00_00_00
,,,Mac OSX/iPhone,,,true,,1,65535_2-1-3-1-1-8-4-0-0_1460_6
,,,Ubuntu 22.04,,,true,,1,65535_2-4-8-1-3_1460_8
Modified ZMap,,,,,,true,,1,65535_2_1460_00
